NTAcode,name
QN10,QN10 Breezy Pnt-Belle Harbor-Rockaway Pk-Broad Channel
QN12,QN12 Hammels-Arverne-Edgemere
QN15,QN15 Far Rockaway-Bayswater
SI07,SI07 Westerleigh
SI08,SI08 Grymes Hill-Clifton-Fox Hills
SI12,SI12 Mariner's Harbor-Arlington-Port Ivory-Graniteville
SI22,SI22 West New Brighton-New Brighton-St. George
SI28,SI28 Port Richmond
SI35,SI35 New Brighton-Silver Lake
SI37,SI37 Stapleton-Rosebank
SI05,SI05 New Springville-Bloomfield-Travis
SI14,SI14 Grasmere-Arrochar-Ft. Wadsworth
SI24,SI24 Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
SI36,SI36 Old Town-Dongan Hills-South Beach
SI45,SI45 New Dorp-Midland Beach
SI01,SI01 Annadale-Huguenot-Prince's Bay-Eltingville
SI11,SI11 Charleston-Richmond Valley-Tottenville
SI25,SI25 Oakwood-Oakwood Beach
SI32,SI32 Rossville-Woodrow
SI48,SI48 Arden Heights
SI54,SI54 Great Kills
SI99,SI99 park-cemetery-etc-Staten Island
